station_id,external_id,name,short_name,lat,lon,rental_methods,capacity,electric_bike_surcharge_waiver,is_charging_info,eightd_has_key_dispenser,has_kiosk,eightd_station_services,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,is_charging_status,eightd_active_station_services,total_capacity,utilization_rate
1,0b0fda98-08f3-11e7-a1cb-3863bb33a4e4,Drummond / de Maisonneuve,6001,45.4996545106653,-73.57633531093597,"['CREDITCARD', 'KEY']",27,False,False,False,True,,8,1,0,19,0,1,1,1,1763056522,False,False,,27,0.2962962962962963
2,0b0fdf05-08f3-11e7-a1cb-3863bb33a4e4,Ste-Catherine / Dézéry,6002,45.539385081961676,-73.54099988937377,"['CREDITCARD', 'KEY']",27,False,False,False,True,,2,0,1,24,0,1,1,1,1763056651,False,False,,26,0.07692307692307693
3,0b0fe114-08f3-11e7-a1cb-3863bb33a4e4,Clark / Ontario,6003,45.510587509716636,-73.56684565544128,"['CREDITCARD', 'KEY']",19,False,False,False,True,,2,0,3,14,0,1,1,1,1763056584,False,False,,16,0.125
4,0b0fe2b5-08f3-11e7-a1cb-3863bb33a4e4,du Champ-de-Mars / Gosford,6004,45.50965520472071,-73.55400860309601,"['CREDITCARD', 'KEY']",23,False,False,False,True,,7,1,0,16,0,1,1,1,1763054832,False,False,,23,0.30434782608695654
5,0b0fe458-08f3-11e7-a1cb-3863bb33a4e4,Brittany / Ainsley,6005,45.52588991809354,-73.65003436803818,"['CREDITCARD', 'KEY']",23,False,False,False,True,,1,0,1,21,0,1,1,1,1763036430,False,False,,22,0.045454545454545456
6,0b0fe5d0-08f3-11e7-a1cb-3863bb33a4e4,Ann / Wellington,6006,45.494520387544334,-73.55676591396332,"['CREDITCARD', 'KEY']",15,False,False,False,True,,2,0,0,13,0,1,1,1,1763054214,False,False,,15,0.13333333333333333
7,0b0fe76d-08f3-11e7-a1cb-3863bb33a4e4,Ste-Catherine / de Bullion,6007,45.51113072062821,-73.56280624866486,"['CREDITCARD', 'KEY']",23,False,False,False,True,,3,0,0,20,0,1,1,1,1763052911,False,False,,23,0.13043478260869565
8,0b0fe8e4-08f3-11e7-a1cb-3863bb33a4e4,Ste-Catherine / Sanguinet,6008,45.512936177874096,-73.56124520301817,"['CREDITCARD', 'KEY']",43,False,False,False,True,,14,0,0,29,0,1,1,1,1763056571,False,False,,43,0.32558139534883723
9,0b0fea54-08f3-11e7-a1cb-3863bb33a4e4,Crescent / de Maisonneuve,6009,45.49812041247333,-73.57759594917297,"['CREDITCARD', 'KEY']",23,False,False,False,True,,13,0,0,10,0,1,1,1,1763055733,False,False,,23,0.5652173913043478
11,0b0ff3ef-08f3-11e7-a1cb-3863bb33a4e4,7e avenue / Masson,6011,45.54863154452348,-73.57469648122787,"['CREDITCARD', 'KEY']",19,False,False,False,True,,13,0,0,6,0,1,1,1,1763056423,False,False,,19,0.6842105263157895
12,0b0ff5fc-08f3-11e7-a1cb-3863bb33a4e4,Metcalfe / de Maisonneuve (sud),6012,45.501375027330134,-73.5734578129086,"['CREDITCARD', 'KEY']",23,False,False,False,True,,5,1,0,18,0,1,1,1,1763053271,False,False,,23,0.21739130434782608
13,0b0ff798-08f3-11e7-a1cb-3863bb33a4e4,Sanguinet / de Maisonneuve,6013,45.51344071816516,-73.56261849403381,"['CREDITCARD', 'KEY']",31,False,False,False,True,,8,0,0,23,0,1,1,1,1763055188,False,False,,31,0.25806451612903225
14,0b0ff906-08f3-11e7-a1cb-3863bb33a4e4,St-Denis / Ste-Catherine,6014,45.51372291221464,-73.5603104531765,"['CREDITCARD', 'KEY']",43,False,False,False,True,,5,0,2,36,0,1,1,1,1763056602,False,False,,41,0.12195121951219512
15,0b0ffa68-08f3-11e7-a1cb-3863bb33a4e4,Métro Berri-UQAM (St-Denis / de Maisonneuve),6015,45.51425199763688,-73.56150217976847,"['CREDITCARD', 'KEY']",15,False,False,False,True,,3,1,0,12,0,1,1,1,1763054754,False,False,,15,0.2
16,0b0ffbbc-08f3-11e7-a1cb-3863bb33a4e4,Jacques-Le Ber / de la Pointe Nord,6016,45.47259900304475,-73.5398056358099,"['CREDITCARD', 'KEY']",27,False,False,False,True,,10,2,0,17,0,1,1,1,1763055983,False,False,,27,0.37037037037037035
17,0b0ffd3a-08f3-11e7-a1cb-3863bb33a4e4,Marché St-Jacques (Atateken),6017,45.520665992418884,-73.5639146839003,"['CREDITCARD', 'KEY']",27,False,False,False,True,,3,1,1,23,0,1,1,1,1763056584,False,False,,26,0.11538461538461539
18,0b0ffea2-08f3-11e7-a1cb-3863bb33a4e4,St-André / Ontario,6018,45.51889,-73.56353,"['CREDITCARD', 'KEY']",19,False,False,False,True,,0,0,0,19,0,1,1,1,1763054295,False,False,,19,0.0
19,0b100002-08f3-11e7-a1cb-3863bb33a4e4,Métro Sherbrooke (de Rigaud / Berri),6019,45.51814312154928,-73.56800436973572,"['CREDITCARD', 'KEY']",27,False,False,False,True,,8,0,0,19,0,1,1,1,1763056623,False,False,,27,0.2962962962962963
20,0b100167-08f3-11e7-a1cb-3863bb33a4e4,de l'Hôtel-de-Ville / Ontario,6020,45.51374520222444,-73.56666326522826,"['CREDITCARD', 'KEY']",27,False,False,False,True,,5,0,0,22,0,1,1,1,1763056210,False,False,,27,0.18518518518518517
21,0b1002d5-08f3-11e7-a1cb-3863bb33a4e4,St-André / de Maisonneuve,6902,45.5170859607847,-73.55974048376083,"['CREDITCARD', 'KEY']",19,False,False,False,True,,13,0,0,6,0,1,1,1,1763056487,False,False,,19,0.6842105263157895
22,0b100442-08f3-11e7-a1cb-3863bb33a4e4,de la Commune / des Soeurs-Grises,6023,45.49792864726048,-73.55273187160492,"['CREDITCARD', 'KEY']",67,False,False,False,True,,28,1,0,39,0,1,1,1,1763056489,False,False,,67,0.417910447761194
23,0b1005a1-08f3-11e7-a1cb-3863bb33a4e4,St-Dominique / St-Viateur,6024,45.52649960463402,-73.59812762595539,"['CREDITCARD', 'KEY']",31,False,False,False,True,,18,6,0,13,0,1,1,1,1763056511,False,False,,31,0.5806451612903226
24,0b1006f9-08f3-11e7-a1cb-3863bb33a4e4,Notre-Dame / St-Gabriel,6025,45.50711760282556,-73.55504930019379,"['CREDITCARD', 'KEY']",11,False,False,False,True,,2,0,0,9,0,1,1,1,1763054132,False,False,,11,0.18181818181818182
25,0b100854-08f3-11e7-a1cb-3863bb33a4e4,de la Commune / Place Jacques-Cartier,6026,45.50761009451047,-73.55183601379395,"['CREDITCARD', 'KEY']",81,False,False,False,True,"[{'id': '1725ae45-208e-417e-ae18-f3fdc347ea3a', 'service_type': 'ATTENDED_SERVICE', 'bikes_availability': 'LIMITED', 'docks_availability': 'LIMITED', 'name': 'Drop-Off Station', 'description': '', 'schedule_description': 'Friday to Sunday 11AM to 7PM', 'link_for_more_info': 'https://bixi.com/en/drop-off-stations/'}]",8,2,2,71,0,1,1,1,1763053565,False,False,[{'id': '1725ae45-208e-417e-ae18-f3fdc347ea3a'}],79,0.10126582278481013
26,0b1009b3-08f3-11e7-a1cb-3863bb33a4e4,de Maisonneuve / Mansfield (sud),6027,45.502053864057466,-73.57346534729004,"['CREDITCARD', 'KEY']",27,False,False,False,True,,18,0,0,9,0,1,1,1,1763055169,False,False,,27,0.6666666666666666
28,0b100caa-08f3-11e7-a1cb-3863bb33a4e4,Bourget / St-Jacques,6029,45.48067368593179,-73.58351558446884,"['CREDITCARD', 'KEY']",15,False,False,False,True,,2,0,0,13,0,1,1,1,1763055943,False,False,,15,0.13333333333333333
30,0b100f80-08f3-11e7-a1cb-3863bb33a4e4,St-Antoine / St-François-Xavier,6031,45.5045770667804,-73.55918392539024,"['CREDITCARD', 'KEY']",29,False,False,False,True,,6,0,0,23,0,1,1,1,1763054997,False,False,,29,0.20689655172413793
31,0b1010e4-08f3-11e7-a1cb-3863bb33a4e4,Métro Place-d'Armes (St-Urbain / Viger),6032,45.50632340391333,-73.5596989095211,"['CREDITCARD', 'KEY']",19,False,False,False,True,,14,0,0,5,0,1,1,1,1763055995,False,False,,19,0.7368421052631579
